text,action,category
I think I saw a mouse behind the curtain.,Pest Control Investigation,Rooms
Lifeguard was on their phone the whole time. Terrible.,Recreation Staff Review,Recreation
Feedback: They didn't tell us the pool was under maintenance.,Staff Communication Training,Services
"Dust everywhere, especially under the bed. Terrible.",Deep Clean & Maintenance,Rooms
Action needed: Found trash from previous guests in the drawer.,Deep Clean & Maintenance,Rooms
We were promised a complimentary drink but never got it. Terrible.,Compensate Guest,Food
Review: I want a refund for this terrible meal.,Compensate Guest,Food
Review: No one came to clear our table for 30 minutes.,Staff Training (Food),Food
Feedback: Staff seemed confused by the check-in software.,Review Check-in Process,Services
water looked stagnant and dirty.,Pool Maintenance,Recreation
"Honestly, tiles around the pool are broken and sharp.",Pool Maintenance,Recreation
Cockroach in the shower.,Pest Control Investigation,Rooms
Not happy. The furniture is worn out and chipped.,Upgrade Room Amenities,Rooms
"Review: Dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms
Not happy. The server was rude when I asked for water.,Staff Training (Food),Food
Action needed: Staff member laughed at my complaint.,Disciplinary Action,Services
Review: Check-in line was huge and only one counter open.,Review Check-in Process,Services
Action needed: Our anniversary dinner was ruined by the terrible service.,Compensate Guest,Food
Hygiene standards in the restaurant seem very low. Terrible.,Inspect Kitchen Hygiene,Food
Review: Curtains were dusty and triggered my allergies.,Deep Clean & Maintenance,Rooms
Not happy. Restaurant manager was shouting at the staff.,Staff Training (Food),Food
pool shower wasn't working.,Pool Maintenance,Recreation
There was a spider on the pillow.,Pest Control Investigation,Rooms
Action needed: No iron or ironing board in the room.,Upgrade Room Amenities,Rooms
minibar was empty and not working.,Upgrade Room Amenities,Rooms
Action needed: The steak was tough and flavorless.,Revise Menu Quality,Food
"Worst dining experience ever, I expect compensation.",Compensate Guest,Food
Review: The presentation of the dishes was poor.,Revise Menu Quality,Food
The carpet was stained and smelled of mold.,Deep Clean & Maintenance,Rooms
Feedback: Cockroach in the shower.,Pest Control Investigation,Rooms
Review: The TV is tiny and has no channels.,Upgrade Room Amenities,Rooms
Review: Service in the restaurant was incredibly slow.,Staff Training (Food),Food
saw ants marching across the bathroom sink.,Pest Control Investigation,Rooms
Action needed: Yoga mats are torn and dirty.,Update Gym Equipment,Recreation
Front desk staff gave us wrong information about breakfast. Terrible.,Staff Communication Training,Services
Review: There was a spider on the pillow.,Pest Control Investigation,Rooms
"Honestly, called reception but no one answered the phone.",Staff Communication Training,Services
Feedback: Yoga mats are torn and dirty.,Update Gym Equipment,Recreation
Feedback: Saw ants marching across the bathroom sink.,Pest Control Investigation,Rooms
Feedback: System crashed during check-in.,Review Check-in Process,Services
Action needed: Mosquitoes in the room kept me up all night.,Pest Control Investigation,Rooms
Entertainment team was low energy and boring.,Recreation Staff Review,Recreation
The salad was wilted and brown.,Inspect Kitchen Hygiene,Food
Action needed: Minibar was empty and not working.,Upgrade Room Amenities,Rooms
Curtains were dusty and triggered my allergies. Terrible.,Deep Clean & Maintenance,Rooms
Not happy. Security guard was sleeping on the job.,Disciplinary Action,Services
Kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation
"Honestly, hygiene standards in the restaurant seem very low.",Inspect Kitchen Hygiene,Food
The TV is tiny and has no channels. Terrible.,Upgrade Room Amenities,Rooms
the toilet wasn't flushed when we arrived.,Deep Clean & Maintenance,Rooms
Action needed: The bathroom tiles had mold in the grout.,Deep Clean & Maintenance,Rooms
the sheets had spots and didn't look fresh.,Deep Clean & Maintenance,Rooms
"Not happy. Staff speaks very poor English, hard to communicate.",Staff Communication Training,Services
"Honestly, lizard on the ceiling.",Pest Control Investigation,Rooms
Not happy. Staff got my order wrong three times.,Staff Training (Food),Food
no supervision in the children's play area.,Recreation Staff Review,Recreation
staff member laughed at my complaint.,Disciplinary Action,Services
"Honestly, employee was on their phone ignoring guests.",Disciplinary Action,Services
"Honestly, the room is infested with insects.",Pest Control Investigation,Rooms
Not happy. The room smelled like stale cigarette smoke.,Deep Clean & Maintenance,Rooms
Action needed: The sheets had spots and didn't look fresh.,Deep Clean & Maintenance,Rooms
"Honestly, spa therapist was chatting during the massage.",Recreation Staff Review,Recreation
Not happy. It took 45 minutes just to check in.,Review Check-in Process,Services
Action needed: Treadmills were all out of order.,Update Gym Equipment,Recreation
"Honestly, cable machine is stuck and dangerous.",Update Gym Equipment,Recreation
"Honestly, water looked stagnant and dirty.",Pool Maintenance,Recreation
Action needed: Our anniversary dinner was ruined by the terrible service.,Compensate Guest,Food
the plates were dirty and had leftover food stains.,Inspect Kitchen Hygiene,Food
Review: I got food poisoning after eating the seafood.,Inspect Kitchen Hygiene,Food
Tennis coach didn't show up for the lesson. Terrible.,Recreation Staff Review,Recreation
Not happy. They charged us for items we didn't order.,Compensate Guest,Food
The buffet area looked unclean and messy.,Inspect Kitchen Hygiene,Food
lizard on the ceiling.,Pest Control Investigation,Rooms
Cable machine is stuck and dangerous. Terrible.,Update Gym Equipment,Recreation
Housekeeper stole money from my wallet.,Disciplinary Action,Services
Action needed: The TV is tiny and has no channels.,Upgrade Room Amenities,Rooms
cockroach in the shower.,Pest Control Investigation,Rooms
the dessert was stale and dry.,Revise Menu Quality,Food
Feedback: Staff didn't know the ingredients of the dishes.,Staff Training (Food),Food
Room wasn't ready at 4 PM check-in time.,Review Check-in Process,Services
The hostess was welcoming but the servers were grumpy.,Staff Training (Food),Food
Review: Pool shower wasn't working.,Pool Maintenance,Recreation
Valet scratched my car and denied it. Terrible.,Disciplinary Action,Services
"Honestly, bed bugs bit me all over my legs.",Pest Control Investigation,Rooms
Not happy. Front desk staff gave us wrong information about breakfast.,Staff Communication Training,Services
"Honestly, treadmills were all out of order.",Update Gym Equipment,Recreation
"Honestly, too much chlorine in the pool, burned my eyes.",Pool Maintenance,Recreation
"Honestly, conflicting information from different staff members.",Staff Communication Training,Services
There was a spider on the pillow.,Pest Control Investigation,Rooms
Not happy. No one told us about the construction noise.,Staff Communication Training,Services
Feedback: The pool water was cloudy and green.,Pool Maintenance,Recreation
Check-in line was huge and only one counter open. Terrible.,Review Check-in Process,Services
wifi signal is too weak to work in the room.,Upgrade Room Amenities,Rooms
Not happy. Front desk staff gave us wrong information about breakfast.,Staff Communication Training,Services
Review: Dead bugs on the windowsill.,Deep Clean & Maintenance,Rooms
Feedback: The bill included a service charge that was not mentioned.,Compensate Guest,Food
"Honestly, the coffee was burnt and bitter.",Revise Menu Quality,Food
I want a refund for this terrible meal.,Compensate Guest,Food
Action needed: No supervision in the children's play area.,Recreation Staff Review,Recreation
air conditioner is loud and barely cools the room.,Upgrade Room Amenities,Rooms
"Honestly, yoga mats are torn and dirty.",Update Gym Equipment,Recreation
Not happy. There was a spider on the pillow.,Pest Control Investigation,Rooms
"Honestly, the hairdryer provided is useless and overheating.",Upgrade Room Amenities,Rooms
Minibar was empty and not working.,Upgrade Room Amenities,Rooms
"need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms
Feedback: Called reception but no one answered the phone.,Staff Communication Training,Services
Water looked stagnant and dirty. Terrible.,Pool Maintenance,Recreation
The bathroom tiles had mold in the grout.,Deep Clean & Maintenance,Rooms
the salad was wilted and brown.,Inspect Kitchen Hygiene,Food
Review: Tennis coach didn't show up for the lesson.,Recreation Staff Review,Recreation
The sheets had spots and didn't look fresh. Terrible.,Deep Clean & Maintenance,Rooms
"worst dining experience ever, i expect compensation.",Compensate Guest,Food
Action needed: Lifeguard was on their phone the whole time.,Recreation Staff Review,Recreation
Review: The coffee was burnt and bitter.,Revise Menu Quality,Food
"Honestly, the plates were dirty and had leftover food stains.",Inspect Kitchen Hygiene,Food
Review: Seasonal dishes listed on the menu were not available.,Revise Menu Quality,Food
Not happy. Cable machine is stuck and dangerous.,Update Gym Equipment,Recreation
Activity director was rude to the guests.,Recreation Staff Review,Recreation
The menu options are very limited and boring. Terrible.,Revise Menu Quality,Food
there was a spider on the pillow.,Pest Control Investigation,Rooms
"Honestly, scum line around the edge of the pool.",Pool Maintenance,Recreation
Employee was on their phone ignoring guests.,Disciplinary Action,Services
"Honestly, the waiter spilled soup on me and didn't apologize.",Staff Training (Food),Food
The pool water was cloudy and green.,Pool Maintenance,Recreation
saw ants marching across the bathroom sink.,Pest Control Investigation,Rooms
Feedback: Bartender was visibly drunk.,Disciplinary Action,Services
the toilet wasn't flushed when we arrived.,Deep Clean & Maintenance,Rooms
Action needed: Concierge was unable to give simple directions.,Staff Communication Training,Services
Feedback: There was a strange object in the soup.,Inspect Kitchen Hygiene,Food
Action needed: Cable machine is stuck and dangerous.,Update Gym Equipment,Recreation
Action needed: Debris and leaves floating in the water.,Pool Maintenance,Recreation
Not happy. Kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation
Not happy. The carpet was stained and smelled of mold.,Deep Clean & Maintenance,Rooms
Review: No one told us about the construction noise.,Staff Communication Training,Services
Not happy. The furniture is worn out and chipped.,Upgrade Room Amenities,Rooms
Review: Staff was arguing loudly in the hallway.,Disciplinary Action,Services
Feedback: Charged 5 stars price for 1 star food.,Compensate Guest,Food
Not happy. They charged us for items we didn't order.,Compensate Guest,Food
Waiters were ignoring us and chatting among themselves. Terrible.,Staff Training (Food),Food
"Honestly, conflicting information from different staff members.",Staff Communication Training,Services
Priority check-in for members was not honored. Terrible.,Review Check-in Process,Services
"Dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms
Feedback: They charged us for items we didn't order.,Compensate Guest,Food
Not happy. I found a hair in my food.,Inspect Kitchen Hygiene,Food
"Honestly, asked for no onions but got onions anyway.",Staff Training (Food),Food
"Feedback: Key cards didn't work, had to go back down.",Review Check-in Process,Services
Action needed: Kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation
The buffet area looked unclean and messy. Terrible.,Inspect Kitchen Hygiene,Food
"Feedback: Too much chlorine in the pool, burned my eyes.",Pool Maintenance,Recreation
Review: Our anniversary dinner was ruined by the terrible service.,Compensate Guest,Food
It took 45 minutes just to check in. Terrible.,Review Check-in Process,Services
"Honestly, i got food poisoning after eating the seafood.",Inspect Kitchen Hygiene,Food
"Honestly, not enough vegetarian or vegan options.",Revise Menu Quality,Food
"Honestly, air conditioner is loud and barely cools the room.",Upgrade Room Amenities,Rooms
wifi signal is too weak to work in the room.,Upgrade Room Amenities,Rooms
Review: Bellboy didn't explain how to use the key card.,Staff Communication Training,Services
Not happy. Tennis coach didn't show up for the lesson.,Recreation Staff Review,Recreation
Feedback: Entertainment team was low energy and boring.,Recreation Staff Review,Recreation
Review: Cable machine is stuck and dangerous.,Update Gym Equipment,Recreation
Action needed: They forgot to give us our wake-up call.,Staff Communication Training,Services
Action needed: Bike seat is broken.,Update Gym Equipment,Recreation
Not happy. They couldn't find my booking in the system.,Review Check-in Process,Services
The toilet wasn't flushed when we arrived. Terrible.,Deep Clean & Maintenance,Rooms
"Not happy. Dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms
Feedback: Waiters were ignoring us and chatting among themselves.,Staff Training (Food),Food
Action needed: Priority check-in for members was not honored.,Review Check-in Process,Services
Not enough vegetarian or vegan options. Terrible.,Revise Menu Quality,Food
Staff didn't know the ingredients of the dishes.,Staff Training (Food),Food
bed bugs bit me all over my legs.,Pest Control Investigation,Rooms
the pillows are lumpy and uncomfortable.,Upgrade Room Amenities,Rooms
Feedback: Tour guide gave us incorrect historical info.,Recreation Staff Review,Recreation
room wasn't ready at 4 pm check-in time.,Review Check-in Process,Services
Feedback: Priority check-in for members was not honored.,Review Check-in Process,Services
"Honestly, debris and leaves floating in the water.",Pool Maintenance,Recreation
Not happy. The presentation of the dishes was poor.,Revise Menu Quality,Food
Feedback: Lifeguard was on their phone the whole time.,Recreation Staff Review,Recreation
"Honestly, i think i saw a mouse behind the curtain.",Pest Control Investigation,Rooms
Action needed: It took 45 minutes just to check in.,Review Check-in Process,Services
No one came to clear our table for 30 minutes.,Staff Training (Food),Food
"Honestly, bed bugs bit me all over my legs.",Pest Control Investigation,Rooms
Gym equipment is ancient and rusty.,Update Gym Equipment,Recreation
Found trash from previous guests in the drawer. Terrible.,Deep Clean & Maintenance,Rooms
"Honestly, key cards didn't work, had to go back down.",Review Check-in Process,Services
"Not happy. Pool was freezing cold, heater broken.",Pool Maintenance,Recreation
the furniture is worn out and chipped.,Upgrade Room Amenities,Rooms
The pillows are lumpy and uncomfortable.,Upgrade Room Amenities,Rooms
Action needed: No supervision in the children's play area.,Recreation Staff Review,Recreation
Not happy. The room smelled like stale cigarette smoke.,Deep Clean & Maintenance,Rooms
"Honestly, they couldn't find my booking in the system.",Review Check-in Process,Services
Action needed: The food tasted slightly spoiled and smelled bad.,Inspect Kitchen Hygiene,Food
Not happy. Asked for no onions but got onions anyway.,Staff Training (Food),Food
"Not happy. Staff speaks very poor English, hard to communicate.",Staff Communication Training,Services
Feedback: I want a refund for this terrible meal.,Compensate Guest,Food
"Honestly, i think i saw a mouse behind the curtain.",Pest Control Investigation,Rooms
Action needed: The bathroom tiles had mold in the grout.,Deep Clean & Maintenance,Rooms
Staff got my order wrong three times. Terrible.,Staff Training (Food),Food
asked for no onions but got onions anyway.,Staff Training (Food),Food
Feedback: The furniture is worn out and chipped.,Upgrade Room Amenities,Rooms
The hairdryer provided is useless and overheating.,Upgrade Room Amenities,Rooms
No one came to clear our table for 30 minutes. Terrible.,Staff Training (Food),Food
"Honestly, worst dining experience ever, i expect compensation.",Compensate Guest,Food
Feedback: Yoga mats are torn and dirty.,Update Gym Equipment,Recreation
Feedback: Room wasn't ready at 4 PM check-in time.,Review Check-in Process,Services
"Review: Towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms
"Honestly, housekeeper stole money from my wallet.",Disciplinary Action,Services
Review: The furniture is worn out and chipped.,Upgrade Room Amenities,Rooms
"Honestly, tour guide gave us incorrect historical info.",Recreation Staff Review,Recreation
I found a hair in my food.,Inspect Kitchen Hygiene,Food
Review: The bill included a service charge that was not mentioned.,Compensate Guest,Food
no supervision in the children's play area.,Recreation Staff Review,Recreation
"Honestly, employee was on their phone ignoring guests.",Disciplinary Action,Services
The hairdryer provided is useless and overheating. Terrible.,Upgrade Room Amenities,Rooms
staff was arguing loudly in the hallway.,Disciplinary Action,Services
the sheets had spots and didn't look fresh.,Deep Clean & Maintenance,Rooms
Review: Saw a cockroach near the kitchen entrance.,Inspect Kitchen Hygiene,Food
"Honestly, the bill included a service charge that was not mentioned.",Compensate Guest,Food
Review: Cable machine is stuck and dangerous.,Update Gym Equipment,Recreation
Not enough weights for a proper workout.,Update Gym Equipment,Recreation
No supervision in the children's play area.,Recreation Staff Review,Recreation
Feedback: They charged us for items we didn't order.,Compensate Guest,Food
Review: Not enough vegetarian or vegan options.,Revise Menu Quality,Food
Action needed: Seasonal dishes listed on the menu were not available.,Revise Menu Quality,Food
Action needed: I found a hair in my food.,Inspect Kitchen Hygiene,Food
"Honestly, dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms
Action needed: The bathroom tiles had mold in the grout.,Deep Clean & Maintenance,Rooms
"Review: Worst dining experience ever, I expect compensation.",Compensate Guest,Food
there was a spider on the pillow.,Pest Control Investigation,Rooms
Review: Air conditioner is loud and barely cools the room.,Upgrade Room Amenities,Rooms
The food tasted slightly spoiled and smelled bad. Terrible.,Inspect Kitchen Hygiene,Food
Bellboy didn't explain how to use the key card. Terrible.,Staff Communication Training,Services
"Towels are thin, scratchy, and old. Terrible.",Upgrade Room Amenities,Rooms
"Action needed: Dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms
Not happy. We were promised a complimentary drink but never got it.,Compensate Guest,Food
Review: Check-in line was huge and only one counter open.,Review Check-in Process,Services
Action needed: The pool water was cloudy and green.,Pool Maintenance,Recreation
Review: The hairdryer provided is useless and overheating.,Upgrade Room Amenities,Rooms
Review: No one came to clear our table for 30 minutes.,Staff Training (Food),Food
There was a strange object in the soup. Terrible.,Inspect Kitchen Hygiene,Food
Windows were dirty and hard to see through. Terrible.,Deep Clean & Maintenance,Rooms
Housekeeper stole money from my wallet.,Disciplinary Action,Services
Review: Staff member was smoking right outside the lobby door.,Disciplinary Action,Services
Review: The carpet was stained and smelled of mold.,Deep Clean & Maintenance,Rooms
Review: No iron or ironing board in the room.,Upgrade Room Amenities,Rooms
"Need better lighting, the room is too dim. Terrible.",Upgrade Room Amenities,Rooms
"Honestly, the concierge made a rude comment about my appearance.",Disciplinary Action,Services
Action needed: The sheets had spots and didn't look fresh.,Deep Clean & Maintenance,Rooms
Feedback: The coffee was burnt and bitter.,Revise Menu Quality,Food
Feedback: I got food poisoning after eating the seafood.,Inspect Kitchen Hygiene,Food
"Not happy. We waited 2 hours for our food, this is unacceptable.",Compensate Guest,Food
Review: The salad was wilted and brown.,Inspect Kitchen Hygiene,Food
beach staff demanded tips for chairs.,Recreation Staff Review,Recreation
The waiter spilled soup on me and didn't apologize. Terrible.,Staff Training (Food),Food
"Dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms
"Honestly, staff member was smoking right outside the lobby door.",Disciplinary Action,Services
"Honestly, unprofessional behavior from the night manager.",Disciplinary Action,Services
Review: The hostess was welcoming but the servers were grumpy.,Staff Training (Food),Food
Priority check-in for members was not honored.,Review Check-in Process,Services
"Honestly, no supervision in the children's play area.",Recreation Staff Review,Recreation
Review: The menu options are very limited and boring.,Revise Menu Quality,Food
Feedback: The bill included a service charge that was not mentioned.,Compensate Guest,Food
Concierge was unable to give simple directions.,Staff Communication Training,Services
Review: There was a strange object in the soup.,Inspect Kitchen Hygiene,Food
staff seemed confused by the check-in software.,Review Check-in Process,Services
"Honestly, charged 5 stars price for 1 star food.",Compensate Guest,Food
Feedback: Lifeguard was on their phone the whole time.,Recreation Staff Review,Recreation
mosquitoes in the room kept me up all night.,Pest Control Investigation,Rooms
Feedback: Staff got my order wrong three times.,Staff Training (Food),Food
Lobby is chaotic and disorganized. Terrible.,Review Check-in Process,Services
Feedback: Staff was arguing loudly in the hallway.,Disciplinary Action,Services
Review: Pool shower wasn't working.,Pool Maintenance,Recreation
Not happy. I found a hair in my food.,Inspect Kitchen Hygiene,Food
Tennis coach didn't show up for the lesson. Terrible.,Recreation Staff Review,Recreation
Action needed: Pool ladders are loose and dangerous.,Pool Maintenance,Recreation
"Not happy. Dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms
Tour guide gave us incorrect historical info. Terrible.,Recreation Staff Review,Recreation
"Honestly, i found a hair in my food.",Inspect Kitchen Hygiene,Food
Not happy. The pillows are lumpy and uncomfortable.,Upgrade Room Amenities,Rooms
Curtains were dusty and triggered my allergies.,Deep Clean & Maintenance,Rooms
they lost our reservation even though we booked weeks ago.,Compensate Guest,Food
Review: They lost our reservation even though we booked weeks ago.,Compensate Guest,Food
i got food poisoning after eating the seafood.,Inspect Kitchen Hygiene,Food
Action needed: Not enough vegetarian or vegan options.,Revise Menu Quality,Food
minibar was empty and not working.,Upgrade Room Amenities,Rooms
Feedback: Pool attendant refused to give me a towel.,Recreation Staff Review,Recreation
Lifeguard was on their phone the whole time.,Recreation Staff Review,Recreation
"Honestly, need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms
Feedback: Yoga mats are torn and dirty.,Update Gym Equipment,Recreation
Not happy. Flies buzzing around the room constantly.,Pest Control Investigation,Rooms
The plates were dirty and had leftover food stains.,Inspect Kitchen Hygiene,Food
Feedback: Beach staff demanded tips for chairs.,Recreation Staff Review,Recreation
The waiter spilled soup on me and didn't apologize. Terrible.,Staff Training (Food),Food
They lost our reservation even though we booked weeks ago.,Compensate Guest,Food
Feedback: No water or towels available in the gym.,Update Gym Equipment,Recreation
Action needed: Gym equipment is ancient and rusty.,Update Gym Equipment,Recreation
Action needed: No one told us about the construction noise.,Staff Communication Training,Services
Windows were dirty and hard to see through.,Deep Clean & Maintenance,Rooms
"Action needed: We waited 2 hours for our food, this is unacceptable.",Compensate Guest,Food
Action needed: The coffee was burnt and bitter.,Revise Menu Quality,Food
"Review: Too much chlorine in the pool, burned my eyes.",Pool Maintenance,Recreation
Action needed: Lobby is chaotic and disorganized.,Review Check-in Process,Services
Tour guide gave us incorrect historical info. Terrible.,Recreation Staff Review,Recreation
Not happy. No water or towels available in the gym.,Update Gym Equipment,Recreation
Pool ladders are loose and dangerous.,Pool Maintenance,Recreation
they couldn't find my booking in the system.,Review Check-in Process,Services
"Honestly, air conditioner is loud and barely cools the room.",Upgrade Room Amenities,Rooms
No one came to clear our table for 30 minutes.,Staff Training (Food),Food
The room smelled like stale cigarette smoke. Terrible.,Deep Clean & Maintenance,Rooms
Review: Lifeguard was on their phone the whole time.,Recreation Staff Review,Recreation
Feedback: The bill included a service charge that was not mentioned.,Compensate Guest,Food
"Honestly, kids club staff seemed bored and inattentive.",Recreation Staff Review,Recreation
Feedback: Bed bugs bit me all over my legs.,Pest Control Investigation,Rooms
Not happy. No iron or ironing board in the room.,Upgrade Room Amenities,Rooms
They didn't tell us the pool was under maintenance.,Staff Communication Training,Services
Feedback: Treadmills were all out of order.,Update Gym Equipment,Recreation
misunderstanding about the room rate caused issues.,Staff Communication Training,Services
Review: Activity director was rude to the guests.,Recreation Staff Review,Recreation
Feedback: Saw ants marching across the bathroom sink.,Pest Control Investigation,Rooms
tour guide gave us incorrect historical info.,Recreation Staff Review,Recreation
"Review: Key cards didn't work, had to go back down.",Review Check-in Process,Services
Review: There was a strange object in the soup.,Inspect Kitchen Hygiene,Food
Action needed: Room wasn't ready at 4 PM check-in time.,Review Check-in Process,Services
Windows were dirty and hard to see through. Terrible.,Deep Clean & Maintenance,Rooms
No supervision in the children's play area.,Recreation Staff Review,Recreation
"Honestly, the toilet wasn't flushed when we arrived.",Deep Clean & Maintenance,Rooms
Not happy. Staff member laughed at my complaint.,Disciplinary Action,Services
Feedback: Security guard was sleeping on the job.,Disciplinary Action,Services
Feedback: No water or towels available in the gym.,Update Gym Equipment,Recreation
The salad was wilted and brown.,Inspect Kitchen Hygiene,Food
"Honestly, kids club staff seemed bored and inattentive.",Recreation Staff Review,Recreation
Action needed: The pasta was overcooked and mushy.,Revise Menu Quality,Food
Action needed: I got food poisoning after eating the seafood.,Inspect Kitchen Hygiene,Food
Not happy. Conflicting information from different staff members.,Staff Communication Training,Services
"Honestly, they forgot to give us our wake-up call.",Staff Communication Training,Services
"Honestly, they couldn't find my booking in the system.",Review Check-in Process,Services
the server was rude when i asked for water.,Staff Training (Food),Food
Review: They charged us for items we didn't order.,Compensate Guest,Food
Review: System crashed during check-in.,Review Check-in Process,Services
Feedback: Tiles around the pool are broken and sharp.,Pool Maintenance,Recreation
"Not happy. Too much chlorine in the pool, burned my eyes.",Pool Maintenance,Recreation
Feedback: Staff got my order wrong three times.,Staff Training (Food),Food
Feedback: The pillows are lumpy and uncomfortable.,Upgrade Room Amenities,Rooms
Review: Bike seat is broken.,Update Gym Equipment,Recreation
"Honestly, it took 45 minutes just to check in.",Review Check-in Process,Services
 Filtration system was making a loud noise. Terrible.,Pool Maintenance,Recreation
Feedback: No supervision in the children's play area.,Recreation Staff Review,Recreation
Staff didn't know the ingredients of the dishes.,Staff Training (Food),Food
treadmills were all out of order.,Update Gym Equipment,Recreation
The room is infested with insects. Terrible.,Pest Control Investigation,Rooms
Feedback: Pool ladders are loose and dangerous.,Pool Maintenance,Recreation
"Honestly, dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms
Feedback: Kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation
i want a refund for this terrible meal.,Compensate Guest,Food
Not happy. Tour guide gave us incorrect historical info.,Recreation Staff Review,Recreation
system crashed during check-in.,Review Check-in Process,Services
Review: The steak was tough and flavorless.,Revise Menu Quality,Food
Staff seemed confused by the check-in software.,Review Check-in Process,Services
"Honestly, they forgot to give us our wake-up call.",Staff Communication Training,Services
Pool shower wasn't working. Terrible.,Pool Maintenance,Recreation
Action needed: Staff member laughed at my complaint.,Disciplinary Action,Services
Review: Security guard was sleeping on the job.,Disciplinary Action,Services
Action needed: They lost our reservation even though we booked weeks ago.,Compensate Guest,Food
Not enough weights for a proper workout. Terrible.,Update Gym Equipment,Recreation
"Honestly, spa therapist was chatting during the massage.",Recreation Staff Review,Recreation
Feedback: Housekeeper stole money from my wallet.,Disciplinary Action,Services
Service in the restaurant was incredibly slow.,Staff Training (Food),Food
Feedback: Unprofessional behavior from the night manager.,Disciplinary Action,Services
lobby is chaotic and disorganized.,Review Check-in Process,Services
The buffet area looked unclean and messy.,Inspect Kitchen Hygiene,Food
Review: Called reception but no one answered the phone.,Staff Communication Training,Services
Valet scratched my car and denied it.,Disciplinary Action,Services
Flies buzzing around the room constantly.,Pest Control Investigation,Rooms
Feedback: Activity director was rude to the guests.,Recreation Staff Review,Recreation
"Honestly, i want a refund for this terrible meal.",Compensate Guest,Food
Feedback: They couldn't find my booking in the system.,Review Check-in Process,Services
The food tasted slightly spoiled and smelled bad.,Inspect Kitchen Hygiene,Food
Review: The pillows are lumpy and uncomfortable.,Upgrade Room Amenities,Rooms
I want a refund for this terrible meal. Terrible.,Compensate Guest,Food
Scum line around the edge of the pool.,Pool Maintenance,Recreation
The concierge made a rude comment about my appearance.,Disciplinary Action,Services
The buffet area looked unclean and messy. Terrible.,Inspect Kitchen Hygiene,Food
No water or towels available in the gym. Terrible.,Update Gym Equipment,Recreation
The steak was tough and flavorless. Terrible.,Revise Menu Quality,Food
Not happy. They refused to accept my voucher.,Compensate Guest,Food
Review: Waiters were ignoring us and chatting among themselves.,Staff Training (Food),Food
Action needed: Glass had lipstick marks on it.,Inspect Kitchen Hygiene,Food
Review: The dessert was stale and dry.,Revise Menu Quality,Food
Dead bugs on the windowsill.,Deep Clean & Maintenance,Rooms
Not happy. No water or towels available in the gym.,Update Gym Equipment,Recreation
Feedback: Bellboy didn't explain how to use the key card.,Staff Communication Training,Services
Priority check-in for members was not honored.,Review Check-in Process,Services
"key cards didn't work, had to go back down.",Review Check-in Process,Services
Not happy. It took 45 minutes just to check in.,Review Check-in Process,Services
activity director was rude to the guests.,Recreation Staff Review,Recreation
"Feedback: Towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms
"Feedback: Key cards didn't work, had to go back down.",Review Check-in Process,Services
"Honestly, priority check-in for members was not honored.",Review Check-in Process,Services
Action needed: Found trash from previous guests in the drawer.,Deep Clean & Maintenance,Rooms
"Honestly, called reception but no one answered the phone.",Staff Communication Training,Services
"The gym smells like sweat, no ventilation.",Update Gym Equipment,Recreation
"Review: Worst dining experience ever, I expect compensation.",Compensate Guest,Food
"Honestly, hygiene standards in the restaurant seem very low.",Inspect Kitchen Hygiene,Food
Feedback: Pool shower wasn't working.,Pool Maintenance,Recreation
Feedback: Charged 5 stars price for 1 star food.,Compensate Guest,Food
Lobby is chaotic and disorganized.,Review Check-in Process,Services
Evidence of termites in the wooden furniture. Terrible.,Pest Control Investigation,Rooms
Action needed: Activity director was rude to the guests.,Recreation Staff Review,Recreation
No one told us about the construction noise. Terrible.,Staff Communication Training,Services
Feedback: Security guard was sleeping on the job.,Disciplinary Action,Services
"Feedback: Need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms
No supervision in the children's play area.,Recreation Staff Review,Recreation
Action needed: It took 45 minutes just to check in.,Review Check-in Process,Services
Review: Valet scratched my car and denied it.,Disciplinary Action,Services
"We waited 2 hours for our food, this is unacceptable.",Compensate Guest,Food
Action needed: I want a refund for this terrible meal.,Compensate Guest,Food
Flies buzzing around the room constantly.,Pest Control Investigation,Rooms
The dessert was stale and dry. Terrible.,Revise Menu Quality,Food
I want a refund for this terrible meal.,Compensate Guest,Food
Front desk staff gave us wrong information about breakfast.,Staff Communication Training,Services
Review: They forgot to give us our wake-up call.,Staff Communication Training,Services
Charged 5 stars price for 1 star food. Terrible.,Compensate Guest,Food
i think i saw a mouse behind the curtain.,Pest Control Investigation,Rooms
